Freq [GHz],"im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
84.879997253418,0.16982352733612,	-0.10239738970995,0.69055104255676    ,-0.6956599950790	
84.940002441406,0.17089702188969,	-0.10090417414904,0.69617891311646    ,-0.6899843215942	
85.000000000000,0.17195674777031,	-0.099401682615280,0.70176041126251   ,-0.6842626929283	
85.059997558594,0.17300258576870,	-0.097890108823776,0.70729494094849   ,-0.6784955263137	
85.120002746582,0.17403450608253,	-0.096369609236717,0.71278250217438   ,-0.6726831793785	
85.180000305176,0.17505241930485,	-0.094840325415134,0.71822243928909   ,-0.6668264269828	
85.239997863770,0.17605634033680,	-0.093302294611931,0.72361445426941   ,-0.6609249114990	
85.300003051758,0.17704613506794,	-0.091755732893944,0.72895818948746   ,-0.6549796462059	
85.360000610352,0.17802174389362,	-0.090200796723366,0.73425322771072   ,-0.6489908695220	
85.419998168945,0.17898318171501,	-0.088637530803680,0.73949950933456   ,-0.6429584622383	
85.480003356934,0.17993032932281,	-0.087066069245338,0.74469625949860   ,-0.6368836164474	
85.540000915527,0.18086317181587,	-0.085486643016338,0.74984341859818   ,-0.6307659149169	
85.599998474121,0.18178164958954,	-0.083899207413197,0.75494050979614   ,-0.6246066689491	
85.660003662109,0.18268568813801,	-0.082304082810879,0.75998735427856   ,-0.6184054017067	
85.720001220703,0.18357525765896,	-0.080701373517513,0.76498323678970   ,-0.6121632456779	
85.779998779297,0.18445029854774,	-0.079091064631939,0.76992821693420   ,-0.6058803796768	
85.839996337891,0.18531081080437,	-0.077473446726799,0.77482193708420   ,-0.5995568037033	
85.900001525879,0.18615670502186,	-0.075848504900932,0.77966380119324   ,-0.5931931734085	
85.959999084473,0.18698793649673,	-0.074216485023499,0.78445380926132   ,-0.5867900848388	
86.019996643066,0.18780446052551,	-0.072577521204948,0.78919118642807   ,-0.5803482532501	
86.080001831055,0.18860627710819,	-0.070931665599346,0.79387623071671   ,-0.5738669037818	
